iter	Logloss
183	0.2604602192
184	0.2604567311
185	0.2604548591
186	0.2604518475
187	0.2604475223
188	0.2604438348
189	0.2604406441
190	0.2604366315
191	0.260432642
192	0.2604280222
193	0.2604257788
194	0.26042283
195	0.2604190307
196	0.2604152554
197	0.2604127343
198	0.2604108094
199	0.2604066578
200	0.2604036366
201	0.2603996822
202	0.2603972859
203	0.2603937189
204	0.2603896552
205	0.2603874543
206	0.2603818741
207	0.26037905
208	0.2603725591
209	0.2603708164
210	0.2603680829
211	0.2603644901
212	0.2603634054
213	0.2603596278
214	0.2603569586
215	0.2603536702
216	0.2603461928
217	0.260344508
218	0.2603428662
219	0.2603390442
220	0.2603359379
221	0.2603321309
222	0.2603290766
223	0.2603267616
224	0.2603231498
225	0.2603187411
226	0.2603156571
227	0.2603126804
228	0.2603108151
229	0.2603089336
230	0.2603059721
231	0.2603042057
232	0.2603019299
233	0.2602990418
234	0.2602946798
235	0.2602902759
236	0.2602872947
237	0.2602827286
238	0.2602806703
239	0.2602721286
240	0.2602691554
241	0.2602634128
242	0.2602609999
243	0.2602582354
244	0.2602556455
245	0.2602530426
246	0.2602505018
247	0.2602495635
248	0.2602470378
249	0.2602442142
250	0.2602413482
251	0.260239049
252	0.2602369141
253	0.2602357993
254	0.2602329978
255	0.2602308729
256	0.2602257632
257	0.2602226902
258	0.2602175658
259	0.2602147721
260	0.260211238
261	0.2602094254
262	0.2602068487
263	0.260203665
264	0.2602001543
265	0.2601978867
266	0.2601938998
267	0.2601917138
268	0.26018996
269	0.2601879585
270	0.2601863848
271	0.2601847874
272	0.2601819567
273	0.2601794275
274	0.2601779102
275	0.2601755959
276	0.2601721829
277	0.2601678635
278	0.2601653853
279	0.2601598538
280	0.2601578765
281	0.2601537941
282	0.2601508162
283	0.2601487287
284	0.2601455295
285	0.2601434965
286	0.260141471
287	0.2601395271
288	0.2601368588
289	0.2601341251
290	0.2601269724
291	0.2601243643
292	0.2601221538
293	0.2601171948
294	0.260114693
295	0.2601113758
296	0.2601090416
297	0.2601052723
298	0.2601030374
299	0.2601005759
300	0.2600979652
301	0.26009603
302	0.2600941378
303	0.2600911551
304	0.2600868379
305	0.2600849376
306	0.2600822723
307	0.2600790332
308	0.2600748744
309	0.2600723492
310	0.26006883
311	0.2600666785
312	0.2600649599
313	0.2600629646
314	0.2600597307
315	0.2600571177
316	0.2600546467
317	0.2600521242
318	0.2600489937
319	0.2600461338
320	0.2600429966
321	0.2600403479
322	0.2600373662
323	0.260034522
324	0.2600315013
325	0.2600298207
326	0.2600261458
327	0.260023195
328	0.2600210167
329	0.2600182371
330	0.260015157
331	0.2600139363
332	0.2600129924
333	0.2600096569
334	0.2600029873
335	0.2600012158
336	0.2599988712
337	0.2599954649
338	0.2599937715
339	0.2599883367
340	0.2599867791
341	0.2599840179
342	0.2599815165
343	0.2599798359
344	0.2599781513
345	0.2599749647
346	0.2599728323
347	0.2599713151
348	0.259969211
349	0.2599668854
350	0.2599617432
351	0.259959845
352	0.2599576484
353	0.2599515338
354	0.2599485718
355	0.2599461184
356	0.2599433612
357	0.2599409354
358	0.259938332
359	0.2599360448
360	0.2599337197
361	0.2599322474
362	0.2599263964
363	0.2599240814
364	0.2599216144
365	0.2599198837
366	0.2599171431
367	0.2599145258
368	0.2599124053
369	0.2599099027
370	0.2599074499
371	0.2599059008
372	0.2599035759
373	0.2599013838
374	0.2598988793
375	0.2598935774
376	0.2598912838
377	0.2598861934
378	0.259884318
379	0.2598828524
380	0.2598806684
381	0.2598758945
382	0.2598733165
383	0.2598704549
384	0.2598686095
385	0.2598639937
386	0.2598623156
387	0.2598603825
388	0.2598583469
389	0.2598564364
390	0.2598548307
391	0.2598528608
392	0.2598504721
393	0.2598480749
394	0.2598462979
395	0.2598427777
396	0.2598408761
397	0.2598385451
398	0.2598370684
399	0.2598346281
400	0.2598320578
401	0.2598297573
402	0.2598268883
403	0.2598243244
404	0.2598230423
405	0.2598211338
406	0.2598184705
407	0.2598168977
408	0.2598152986
409	0.2598132995
410	0.2598109758
411	0.2598089389
412	0.2598076451
413	0.2598051493
414	0.2598034002
415	0.2598012349
416	0.2597969463
417	0.2597949122
418	0.2597933226
419	0.2597917237
420	0.2597894999
421	0.259788036
422	0.2597849934
423	0.2597827528
424	0.2597808824
425	0.2597751509
426	0.2597737687
427	0.2597718687
428	0.259768971
429	0.2597670893
430	0.2597656061
431	0.2597626071
432	0.2597608115
433	0.2597584402
434	0.2597571938
435	0.2597553165
436	0.2597536888
437	0.2597508891
438	0.2597488642
439	0.2597467311
440	0.2597445821
441	0.2597428313
442	0.2597409212
443	0.2597393763
444	0.259736937
445	0.2597346622
446	0.2597329359
447	0.259730728
448	0.2597295436
449	0.2597282315
450	0.2597264595
451	0.2597246651
452	0.2597227686
453	0.2597205742
454	0.2597188905
455	0.2597159176
456	0.259714342
457	0.2597105708
458	0.2597084459
459	0.2597065757
460	0.2597050766
461	0.2597036942
462	0.2597020604
463	0.2597001783
464	0.2596978018
465	0.2596962613
466	0.2596947443
467	0.2596926864
468	0.259690626
469	0.2596889191
470	0.2596873061
471	0.2596855295
472	0.2596837242
473	0.2596821668
474	0.2596796926
475	0.2596775087
476	0.2596743003
477	0.2596731825
478	0.2596706343
479	0.2596692195
480	0.2596671291
481	0.2596639403
482	0.2596626731
483	0.259660644
484	0.2596590501
485	0.2596578676
486	0.2596565218
487	0.2596546729
488	0.259652885
489	0.2596509015
490	0.259649286
491	0.2596484355
492	0.2596472692
493	0.2596461876
494	0.2596441502
495	0.2596418221
496	0.2596402361
497	0.2596390936
498	0.2596376863
499	0.2596360039
