iter	Logloss
0	0.6358890302
1	0.5872506642
2	0.5450975236
3	0.5099502494
4	0.4772996403
5	0.4513532409
6	0.4290455069
7	0.4083548746
8	0.3922352322
9	0.3758968206
10	0.362469929
11	0.3519848259
12	0.3421321822
13	0.3330336013
14	0.3261475864
15	0.318319054
16	0.3118644188
17	0.3072526281
18	0.3027251071
19	0.2988507695
20	0.2946346722
21	0.2911951658
22	0.2883724258
23	0.285475706
24	0.2834526913
25	0.281127688
26	0.2791369078
27	0.2778758269
28	0.2764791033
29	0.274923542
30	0.2736603418
31	0.2726071663
32	0.2717563853
33	0.2709126157
34	0.2698507575
35	0.268997944
36	0.2682512204
37	0.2677856466
38	0.2673124769
39	0.2666767346
40	0.2663138175
41	0.265865631
42	0.2654379763
43	0.2651950046
44	0.2648231254
45	0.2644936301
46	0.2643340326
47	0.2641246214
48	0.2638221865
49	0.2636925642
50	0.2635244913
51	0.2633089128
52	0.2631803073
53	0.2629708898
54	0.2628046494
55	0.2626958869
56	0.2625842822
57	0.2624635102
58	0.2623689974
59	0.2622902986
60	0.2621880321
61	0.2620994001
62	0.2620010572
63	0.2619142604
64	0.2618408323
65	0.2617600679
66	0.2617311445
67	0.2616860485
68	0.2616284843
69	0.26158538
70	0.2615483854
71	0.2615256717
72	0.2615076967
73	0.2614662164
74	0.2614379558
75	0.2614048884
76	0.2613695989
77	0.2613481283
78	0.2613280145
79	0.2613124145
80	0.2612866391
81	0.261259219
82	0.2612327986
83	0.2612139901
84	0.261183769
85	0.2611699519
86	0.2611532573
87	0.2611417459
88	0.2611260835
89	0.2610952639
90	0.2610843273
91	0.2610615138
92	0.2610507161
93	0.2610294796
94	0.2610136936
95	0.2610052076
96	0.2609931234
97	0.2609827312
98	0.2609626249
99	0.2609561385
100	0.2609483537
101	0.2609377493
102	0.2609323675
103	0.2609220522
104	0.2609115607
105	0.260903522
106	0.2608879027
107	0.2608772684
108	0.2608701555
109	0.2608565018
110	0.2608473513
111	0.2608368631
112	0.2608279427
113	0.2608215407
114	0.2608118027
115	0.2608051291
116	0.2607967917
117	0.2607849522
118	0.260777358
119	0.2607698875
120	0.2607654385
121	0.260761816
122	0.2607550394
123	0.2607422437
124	0.260739875
125	0.2607366251
126	0.2607341162
127	0.2607249063
128	0.2607205996
129	0.2607120693
130	0.2607083336
131	0.2607025614
132	0.2606969195
133	0.2606919561
134	0.2606891659
135	0.2606846885
136	0.2606771365
137	0.260672465
138	0.260664394
139	0.2606596841
140	0.2606534204
141	0.2606479614
142	0.2606430431
143	0.2606378129
144	0.2606322709
145	0.2606239888
146	0.2606187988
147	0.2606123308
148	0.2606083345
149	0.260599245
150	0.2605930659
151	0.260586604
152	0.2605831669
153	0.2605789559
154	0.260576345
155	0.2605725509
156	0.2605676386
157	0.2605630238
158	0.2605569061
159	0.2605542863
160	0.2605499751
161	0.2605436935
162	0.2605386947
163	0.2605322191
164	0.2605303232
165	0.2605257093
166	0.2605237553
167	0.2605207299
168	0.2605155891
169	0.2605116453
170	0.2605078797
171	0.2605041246
172	0.2604985797
173	0.26049384
174	0.2604917339
175	0.2604886356
176	0.2604828161
177	0.2604789639
178	0.260475894
179	0.2604739207
180	0.2604688173
181	0.2604666365
182	0.260463288
